Title,Metascore
Moonlight,99
Pan's Labyrinth,98
Roma,96
Rosemary's Baby,96
A Separation,95
The Irishman,94
The Lord of the Rings: The Return of the King,94
"Crouching Tiger, Hidden Dragon",94
Marriage Story,93
The Look of Silence,92
The Queen,91
The Crying Game,90
Burning,90
I Called Him Morgan,90
Her,90
The Lives of Others,89
Howards End,89
Raging Bull,89
13th,88
Democrats,88
Y Tu Mamá También,88
The Little Mermaid,88
Blue Is the Warmest Color,88
The King's Speech,88
Hell or High Water,88
Shirkers,88
Aquarius,88
Black Panther,88
The Lord of the Rings: The Two Towers,87
Newtown,87
Restless Creature: Wendy Whelan,87
The Body Remembers When the World Broke Open,87
Fire at Sea,87
Elena,87
Happy as Lazzaro,87
Spider-Man: Into the Spider-Verse,87
Lincoln,86
Room,86
Like Water for Chocolate,86
My Happy Family,86
Chasing Coral,86
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,86
The Master,86
The Son,86
Strong Island,86
American Factory,86
Raiders of the Lost Ark,85
Amy,85
Atlantics,85
The Departed,85
April and the Extraordinary World,85
Hero,85
Mudbound,85
My Life as a Zucchini,85
God's Own Country,85
Carrie,85
Sling Blade,84
Giant,84
In the Shadow of the Moon,84
Naked,84
American Beauty,84
Milk,84
Lagaan: Once Upon a Time in India,84
The Square,84
A Ghost Story,84
Snowpiercer,84
Under the Shadow,84
Dallas Buyers Club,84
De Palma,83
Trainspotting,83
The Witch,83
20 Feet from Stardom,83
20th Century Women,83
Up in the Air,83
Roll Red Roll,83
Cutie and the Boxer,83
Kill Bill: Vol. 2,83
Private Life,83
Tyson,83
Don't Think Twice,83
Sweeney Todd: The Demon Barber of Fleet Street,83
We the Animals,83
The End of the Tour,82
The Lobster,82
The Squid and the Whale,82
Frances Ha,82
In the Family,82
The Spectacular Now,82
The Climb,82
Steve Jobs,82
Rachel Getting Married,82
Mountain,82
The Killer,82
Neruda,82
Elena,81
Blue Valentine,81
Locke,81
Shadow,81
The Edge of Democracy,81
Hairspray,81
Starred Up,81
District 9,81
Ai Weiwei: Never Sorry,81
Unrest,80
Knock Down the House,80
I Lost My Body,80
Junebug,80
The Wound,80
Trophy,80
Incredibles 2,80
Peter and the Farm,80
True Grit,80
Coraline,80
The Force,80
Jezebel,80
The Endless,80
Winter on Fire: Ukraine's Fight for Freedom,79
City of God,79
The Meyerowitz Stories (New and Selected),79
She's Gotta Have It,79
A Most Violent Year,79
Loving,79
A Serious Man,79
The Fighter,79
Beasts of No Nation,79
One of Us,79
The Ballad of Buster Scruggs,79
Green Room,79
Tarzan,79
Walking Out,79
American Honey,79
Free Willy,79
Searching for Sugar Man,79
Drive,78
Clouds of Sils Maria,78
The Last Man on the Moon,78
Blue Jasmine,78
It Comes at Night,78
Under the Skin,78
Amanda Knox,78
High Flying Bird,78
A Silent Voice,78
"I, Daniel Blake",78
Bathtubs Over Broadway,78
Blue Ruin,78
Ex Machina,78
Much Ado About Nothing,78
The Breadwinner,78
The Other Side of the Wind,78
Zodiac,78
Goldstone,78
Kung Fu Hustle,78
Command and Control,77
They'll Love Me When I'm Dead,77
Jiro Dreams of Sushi,77
The Gift,77
Mississippi Grind,77
On Body and Soul,77
Grass,77
Hairspray,77
Personal Shopper,77
While We're Young,77
The B-Side: Elsa Dorfman's Portrait Photography,77
Win It All,77
A Single Man,77
Evolution,77
How to Change the World,77
Magnolia,77
The Edge of Seventeen,77
Water,77
Gerald's Game,77
Tramps,76
Dolemite Is My Name,76
Rebirth,76
Donnie Brasco,76
The Breaker Upperers,76
Outside In,76
The Death and Life of Marsha P. Johnson,76
Calibre,76
The Student,76
